tool	rank	metric	sample	value
Gold standard	phylum	Shannon equitability	sample_129	0.4210836479525277
Gold standard	class	Shannon diversity	sample_129	0.9696134714508089
Gold standard	class	Shannon equitability	sample_129	0.6024547228320064
Gold standard	order	Shannon diversity	sample_129	2.193864447958667
Gold standard	order	Shannon equitability	sample_129	0.8101269492957468
Gold standard	family	Shannon diversity	sample_129	2.89945939770865
Gold standard	family	Shannon equitability	sample_129	0.9123380384627423
Gold standard	genus	Shannon diversity	sample_129	3.502410518393648
Gold standard	genus	Shannon equitability	sample_129	0.9047348635539457
Gold standard	species	Shannon diversity	sample_129	4.13942947754281
Gold standard	species	Shannon equitability	sample_129	0.9446381372464832
Gold standard	strain	Shannon diversity	sample_129	4.13942947754281
Gold standard	strain	Shannon equitability	sample_129	0.9446381372464832
Gold standard	superkingdom	True positives	sample_129	1.0
Gold standard	superkingdom	False negatives	sample_129	0.0
Gold standard	superkingdom	False positives	sample_129	0.0
Gold standard	superkingdom	Completeness	sample_129	1.0
Gold standard	superkingdom	Purity	sample_129	1.0
Gold standard	superkingdom	F1 score	sample_129	1.0
Gold standard	superkingdom	Jaccard index	sample_129	1.0
Gold standard	superkingdom	Taxon counts	sample_129	1.0
Gold standard	phylum	True positives	sample_129	2.0
Gold standard	phylum	False negatives	sample_129	0.0
Gold standard	phylum	False positives	sample_129	0.0
Gold standard	phylum	Completeness	sample_129	1.0
Gold standard	phylum	Purity	sample_129	1.0
Gold standard	phylum	F1 score	sample_129	1.0
Gold standard	phylum	Jaccard index	sample_129	1.0
Gold standard	phylum	Taxon counts	sample_129	2.0
Gold standard	class	True positives	sample_129	5.0
Gold standard	class	False negatives	sample_129	0.0
Gold standard	class	False positives	sample_129	0.0
Gold standard	class	Completeness	sample_129	1.0
Gold standard	class	Purity	sample_129	1.0
Gold standard	class	F1 score	sample_129	1.0
Gold standard	class	Jaccard index	sample_129	1.0
Gold standard	class	Taxon counts	sample_129	5.0
Gold standard	order	True positives	sample_129	15.0
Gold standard	order	False negatives	sample_129	0.0
Gold standard	order	False positives	sample_129	0.0
Gold standard	order	Completeness	sample_129	1.0
Gold standard	order	Purity	sample_129	1.0
Gold standard	order	F1 score	sample_129	1.0
Gold standard	order	Jaccard index	sample_129	1.0
Gold standard	order	Taxon counts	sample_129	15.0
Gold standard	family	True positives	sample_129	24.0
Gold standard	family	False negatives	sample_129	0.0
Gold standard	family	False positives	sample_129	0.0
Gold standard	family	Completeness	sample_129	1.0
Gold standard	family	Purity	sample_129	1.0
Gold standard	family	F1 score	sample_129	1.0
Gold standard	family	Jaccard index	sample_129	1.0
Gold standard	family	Taxon counts	sample_129	24.0
Gold standard	genus	True positives	sample_129	48.0
Gold standard	genus	False negatives	sample_129	0.0
Gold standard	genus	False positives	sample_129	0.0
Gold standard	genus	Completeness	sample_129	1.0
Gold standard	genus	Purity	sample_129	1.0
Gold standard	genus	F1 score	sample_129	1.0
Gold standard	genus	Jaccard index	sample_129	1.0
Gold standard	genus	Taxon counts	sample_129	48.0
Gold standard	species	True positives	sample_129	80.0
Gold standard	species	False negatives	sample_129	0.0
Gold standard	species	False positives	sample_129	0.0
Gold standard	species	Completeness	sample_129	1.0
Gold standard	species	Purity	sample_129	1.0
Gold standard	species	F1 score	sample_129	1.0
Gold standard	species	Jaccard index	sample_129	1.0
Gold standard	species	Taxon counts	sample_129	80.0
Gold standard	strain	True positives	sample_129	80.0
Gold standard	strain	False negatives	sample_129	0.0
Gold standard	strain	False positives	sample_129	0.0
Gold standard	strain	Completeness	sample_129	1.0
Gold standard	strain	Purity	sample_129	1.0
Gold standard	strain	F1 score	sample_129	1.0
Gold standard	strain	Jaccard index	sample_129	1.0
Gold standard	strain	Taxon counts	sample_129	80.0
Gold standard	superkingdom	L1 norm error	sample_129	0.0
Gold standard	phylum	L1 norm error	sample_129	0.0
Gold standard	class	L1 norm error	sample_129	0.0
Gold standard	order	L1 norm error	sample_129	0.0
Gold standard	family	L1 norm error	sample_129	0.0
Gold standard	genus	L1 norm error	sample_129	0.0
Gold standard	species	L1 norm error	sample_129	0.0
Gold standard	strain	L1 norm error	sample_129	0.0
Gold standard	na	Weighted UniFrac error	sample_129	0.0
Gold standard	na	Unweighted UniFrac error	sample_129	0.0
Gold standard	superkingdom	Bray-Curtis distance	sample_130	0.0
Gold standard	phylum	Bray-Curtis distance	sample_130	0.0
Gold standard	class	Bray-Curtis distance	sample_130	0.0
Gold standard	order	Bray-Curtis distance	sample_130	0.0
Gold standard	family	Bray-Curtis distance	sample_130	0.0
Gold standard	genus	Bray-Curtis distance	sample_130	0.0
Gold standard	species	Bray-Curtis distance	sample_130	0.0
Gold standard	strain	Bray-Curtis distance	sample_130	0.0
Gold standard	superkingdom	Shannon diversity	sample_130	0.0
Gold standard	superkingdom	Shannon equitability	sample_130	0.0
Gold standard	phylum	Shannon diversity	sample_130	0.23446273096881276
Gold standard	phylum	Shannon equitability	sample_130	0.33825821924198934
Gold standard	class	Shannon diversity	sample_130	0.8949652047167931
Gold standard	class	Shannon equitability	sample_130	0.5560731469058382
Gold standard	order	Shannon diversity	sample_130	2.135959756497429
Gold standard	order	Shannon equitability	sample_130	0.7887445201821098
Gold standard	family	Shannon diversity	sample_130	2.967959523318137
Gold standard	family	Shannon equitability	sample_130	0.9220484680982257
Gold standard	genus	Shannon diversity	sample_130	3.587960935353545
Gold standard	genus	Shannon equitability	sample_130	0.9268340562124623
Gold standard	species	Shannon diversity	sample_130	4.224079814314226
Gold standard	species	Shannon equitability	sample_130	0.961230785847854
Gold standard	strain	Shannon diversity	sample_130	4.224079814314226
Gold standard	strain	Shannon equitability	sample_130	0.961230785847854
Gold standard	superkingdom	True positives	sample_130	1.0
Gold standard	superkingdom	False negatives	sample_130	0.0
Gold standard	superkingdom	False positives	sample_130	0.0
Gold standard	superkingdom	Completeness	sample_130	1.0
Gold standard	superkingdom	Purity	sample_130	1.0
Gold standard	superkingdom	F1 score	sample_130	1.0
Gold standard	superkingdom	Jaccard index	sample_130	1.0
Gold standard	superkingdom	Taxon counts	sample_130	1.0
Gold standard	phylum	True positives	sample_130	2.0
Gold standard	phylum	False negatives	sample_130	0.0
Gold standard	phylum	False positives	sample_130	0.0
Gold standard	phylum	Completeness	sample_130	1.0
Gold standard	phylum	Purity	sample_130	1.0
Gold standard	phylum	F1 score	sample_130	1.0
Gold standard	phylum	Jaccard index	sample_130	1.0
Gold standard	phylum	Taxon counts	sample_130	2.0
Gold standard	class	True positives	sample_130	5.0
Gold standard	class	False negatives	sample_130	0.0
Gold standard	class	False positives	sample_130	0.0
Gold standard	class	Completeness	sample_130	1.0
Gold standard	class	Purity	sample_130	1.0
Gold standard	class	F1 score	sample_130	1.0
Gold standard	class	Jaccard index	sample_130	1.0
Gold standard	class	Taxon counts	sample_130	5.0
Gold standard	order	True positives	sample_130	15.0
Gold standard	order	False negatives	sample_130	0.0
Gold standard	order	False positives	sample_130	0.0
Gold standard	order	Completeness	sample_130	1.0
Gold standard	order	Purity	sample_130	1.0
Gold standard	order	F1 score	sample_130	1.0
Gold standard	order	Jaccard index	sample_130	1.0
Gold standard	order	Taxon counts	sample_130	15.0
Gold standard	family	True positives	sample_130	25.0
Gold standard	family	False negatives	sample_130	0.0
Gold standard	family	False positives	sample_130	0.0
Gold standard	family	Completeness	sample_130	1.0
Gold standard	family	Purity	sample_130	1.0
Gold standard	family	F1 score	sample_130	1.0
Gold standard	family	Jaccard index	sample_130	1.0
Gold standard	family	Taxon counts	sample_130	25.0
Gold standard	genus	True positives	sample_130	48.0
Gold standard	genus	False negatives	sample_130	0.0
Gold standard	genus	False positives	sample_130	0.0
Gold standard	genus	Completeness	sample_130	1.0
Gold standard	genus	Purity	sample_130	1.0
Gold standard	genus	F1 score	sample_130	1.0
Gold standard	genus	Jaccard index	sample_130	1.0
Gold standard	genus	Taxon counts	sample_130	48.0
Gold standard	species	True positives	sample_130	81.0
Gold standard	species	False negatives	sample_130	0.0
Gold standard	species	False positives	sample_130	0.0
Gold standard	species	Completeness	sample_130	1.0
Gold standard	species	Purity	sample_130	1.0
Gold standard	species	F1 score	sample_130	1.0
Gold standard	species	Jaccard index	sample_130	1.0
Gold standard	species	Taxon counts	sample_130	81.0
Gold standard	strain	True positives	sample_130	81.0
Gold standard	strain	False negatives	sample_130	0.0
Gold standard	strain	False positives	sample_130	0.0
Gold standard	strain	Completeness	sample_130	1.0
Gold standard	strain	Purity	sample_130	1.0
Gold standard	strain	F1 score	sample_130	1.0
Gold standard	strain	Jaccard index	sample_130	1.0
Gold standard	strain	Taxon counts	sample_130	81.0
Gold standard	superkingdom	L1 norm error	sample_130	0.0
Gold standard	phylum	L1 norm error	sample_130	0.0
Gold standard	class	L1 norm error	sample_130	0.0
Gold standard	order	L1 norm error	sample_130	0.0
Gold standard	family	L1 norm error	sample_130	0.0
Gold standard	genus	L1 norm error	sample_130	0.0
Gold standard	species	L1 norm error	sample_130	0.0
Gold standard	strain	L1 norm error	sample_130	0.0
Gold standard	na	Weighted UniFrac error	sample_130	0.0
Gold standard	na	Unweighted UniFrac error	sample_130	0.0
Gold standard	superkingdom	Bray-Curtis distance	sample_131	0.0
Gold standard	phylum	Bray-Curtis distance	sample_131	0.0
Gold standard	class	Bray-Curtis distance	sample_131	0.0
Gold standard	order	Bray-Curtis distance	sample_131	0.0
Gold standard	family	Bray-Curtis distance	sample_131	0.0
Gold standard	genus	Bray-Curtis distance	sample_131	0.0
Gold standard	species	Bray-Curtis distance	sample_131	0.0
Gold standard	strain	Bray-Curtis distance	sample_131	0.0
Gold standard	superkingdom	Shannon diversity	sample_131	0.0
Gold standard	superkingdom	Shannon equitability	sample_131	0.0
Gold standard	phylum	Shannon diversity	sample_131	0.19569364539182144
Gold standard	phylum	Shannon equitability	sample_131	0.28232625174026416
Gold standard	class	Shannon diversity	sample_131	0.844323533080544
Gold standard	class	Shannon equitability	sample_131	0.5246077071737401
Gold standard	order	Shannon diversity	sample_131	2.1912176672295955
Gold standard	order	Shannon equitability	sample_131	0.8091495742352718
Gold standard	family	Shannon diversity	sample_131	2.9183549999377596
Gold standard	family	Shannon equitability	sample_131	0.8957239191291628
Gold standard	genus	Shannon diversity	sample_131	3.5632972108015752
Gold standard	genus	Shannon equitability	sample_131	0.9062704055705032
Gold standard	species	Shannon diversity	sample_131	4.243164291313061
Gold standard	species	Shannon equitability	sample_131	0.9576483262455717
Gold standard	strain	Shannon diversity	sample_131	4.243164291313061
Gold standard	strain	Shannon equitability	sample_131	0.9576483262455717
Gold standard	superkingdom	True positives	sample_131	1.0
Gold standard	superkingdom	False negatives	sample_131	0.0
Gold standard	superkingdom	False positives	sample_131	0.0
Gold standard	superkingdom	Completeness	sample_131	1.0
Gold standard	superkingdom	Purity	sample_131	1.0
Gold standard	superkingdom	F1 score	sample_131	1.0
Gold standard	superkingdom	Jaccard index	sample_131	1.0
Gold standard	superkingdom	Taxon counts	sample_131	1.0
Gold standard	phylum	True positives	sample_131	2.0
Gold standard	phylum	False negatives	sample_131	0.0
Gold standard	phylum	False positives	sample_131	0.0
Gold standard	phylum	Completeness	sample_131	1.0
Gold standard	phylum	Purity	sample_131	1.0
Gold standard	phylum	F1 score	sample_131	1.0
Gold standard	phylum	Jaccard index	sample_131	1.0
Gold standard	phylum	Taxon counts	sample_131	2.0
Gold standard	class	True positives	sample_131	5.0
Gold standard	class	False negatives	sample_131	0.0
Gold standard	class	False positives	sample_131	0.0
Gold standard	class	Completeness	sample_131	1.0
Gold standard	class	Purity	sample_131	1.0
Gold standard	class	F1 score	sample_131	1.0
Gold standard	class	Jaccard index	sample_131	1.0
Gold standard	class	Taxon counts	sample_131	5.0
Gold standard	order	True positives	sample_131	15.0
Gold standard	order	False negatives	sample_131	0.0
Gold standard	order	False positives	sample_131	0.0
Gold standard	order	Completeness	sample_131	1.0
Gold standard	order	Purity	sample_131	1.0
Gold standard	order	F1 score	sample_131	1.0
Gold standard	order	Jaccard index	sample_131	1.0
Gold standard	order	Taxon counts	sample_131	15.0
Gold standard	family	True positives	sample_131	26.0
Gold standard	family	False negatives	sample_131	0.0
Gold standard	family	False positives	sample_131	0.0
Gold standard	family	Completeness	sample_131	1.0
Gold standard	family	Purity	sample_131	1.0
Gold standard	family	F1 score	sample_131	1.0
Gold standard	family	Jaccard index	sample_131	1.0
Gold standard	family	Taxon counts	sample_131	26.0
Gold standard	genus	True positives	sample_131	51.0
Gold standard	genus	False negatives	sample_131	0.0
Gold standard	genus	False positives	sample_131	0.0
Gold standard	genus	Completeness	sample_131	1.0
Gold standard	genus	Purity	sample_131	1.0
Gold standard	genus	F1 score	sample_131	1.0
Gold standard	genus	Jaccard index	sample_131	1.0
Gold standard	genus	Taxon counts	sample_131	51.0
Gold standard	species	True positives	sample_131	84.0
Gold standard	species	False negatives	sample_131	0.0
Gold standard	species	False positives	sample_131	0.0
Gold standard	species	Completeness	sample_131	1.0
Gold standard	species	Purity	sample_131	1.0
Gold standard	species	F1 score	sample_131	1.0
Gold standard	species	Jaccard index	sample_131	1.0
Gold standard	species	Taxon counts	sample_131	84.0
Gold standard	strain	True positives	sample_131	84.0
Gold standard	strain	False negatives	sample_131	0.0
Gold standard	strain	False positives	sample_131	0.0
Gold standard	strain	Completeness	sample_131	1.0
Gold standard	strain	Purity	sample_131	1.0
Gold standard	strain	F1 score	sample_131	1.0
Gold standard	strain	Jaccard index	sample_131	1.0
Gold standard	strain	Taxon counts	sample_131	84.0
Gold standard	superkingdom	L1 norm error	sample_131	0.0
Gold standard	phylum	L1 norm error	sample_131	0.0
Gold standard	class	L1 norm error	sample_131	0.0
Gold standard	order	L1 norm error	sample_131	0.0
Gold standard	family	L1 norm error	sample_131	0.0
Gold standard	genus	L1 norm error	sample_131	0.0
Gold standard	species	L1 norm error	sample_131	0.0
Gold standard	strain	L1 norm error	sample_131	0.0
Gold standard	na	Weighted UniFrac error	sample_131	0.0
Gold standard	na	Unweighted UniFrac error	sample_131	0.0
Gold standard	superkingdom	Bray-Curtis distance	sample_132	0.0
Gold standard	phylum	Bray-Curtis distance	sample_132	0.0
Gold standard	class	Bray-Curtis distance	sample_132	0.0
Gold standard	order	Bray-Curtis distance	sample_132	0.0
Gold standard	family	Bray-Curtis distance	sample_132	0.0
Gold standard	genus	Bray-Curtis distance	sample_132	0.0
Gold standard	species	Bray-Curtis distance	sample_132	0.0
Gold standard	strain	Bray-Curtis distance	sample_132	0.0
Gold standard	superkingdom	Shannon diversity	sample_132	0.0
Gold standard	superkingdom	Shannon equitability	sample_132	0.0
Gold standard	phylum	Shannon diversity	sample_132	0.24777700003124653
Gold standard	phylum	Shannon equitability	sample_132	0.3574666491914239
Gold standard	class	Shannon diversity	sample_132	0.9450955730940479
Gold standard	class	Shannon equitability	sample_132	0.587220896060969
Gold standard	order	Shannon diversity	sample_132	2.226929779393494
Gold standard	order	Shannon equitability	sample_132	0.8223369635049992
Gold standard	family	Shannon diversity	sample_132	2.8751541688437734
Gold standard	family	Shannon equitability	sample_132	0.8932168636736706
Gold standard	genus	Shannon diversity	sample_132	3.5299077901261864
Gold standard	genus	Shannon equitability	sample_132	0.9070068810319586
Gold standard	species	Shannon diversity	sample_132	4.256485131507266
Gold standard	species	Shannon equitability	sample_132	0.9632583542382424
Gold standard	strain	Shannon diversity	sample_132	4.256485131507266
Gold standard	strain	Shannon equitability	sample_132	0.9632583542382424
Gold standard	superkingdom	True positives	sample_132	1.0
Gold standard	superkingdom	False negatives	sample_132	0.0
Gold standard	superkingdom	False positives	sample_132	0.0
Gold standard	superkingdom	Completeness	sample_132	1.0
Gold standard	superkingdom	Purity	sample_132	1.0
Gold standard	superkingdom	F1 score	sample_132	1.0
Gold standard	superkingdom	Jaccard index	sample_132	1.0
Gold standard	superkingdom	Taxon counts	sample_132	1.0
Gold standard	phylum	True positives	sample_132	2.0
Gold standard	phylum	False negatives	sample_132	0.0
Gold standard	phylum	False positives	sample_132	0.0
Gold standard	phylum	Completeness	sample_132	1.0
Gold standard	phylum	Purity	sample_132	1.0
Gold standard	phylum	F1 score	sample_132	1.0
Gold standard	phylum	Jaccard index	sample_132	1.0
Gold standard	phylum	Taxon counts	sample_132	2.0
Gold standard	class	True positives	sample_132	5.0
Gold standard	class	False negatives	sample_132	0.0
Gold standard	class	False positives	sample_132	0.0
Gold standard	class	Completeness	sample_132	1.0
Gold standard	class	Purity	sample_132	1.0
Gold standard	class	F1 score	sample_132	1.0
Gold standard	class	Jaccard index	sample_132	1.0
Gold standard	class	Taxon counts	sample_132	5.0
Gold standard	order	True positives	sample_132	15.0
Gold standard	order	False negatives	sample_132	0.0
Gold standard	order	False positives	sample_132	0.0
Gold standard	order	Completeness	sample_132	1.0
Gold standard	order	Purity	sample_132	1.0
Gold standard	order	F1 score	sample_132	1.0
Gold standard	order	Jaccard index	sample_132	1.0
Gold standard	order	Taxon counts	sample_132	15.0
Gold standard	family	True positives	sample_132	25.0
Gold standard	family	False negatives	sample_132	0.0
Gold standard	family	False positives	sample_132	0.0
Gold standard	family	Completeness	sample_132	1.0
Gold standard	family	Purity	sample_132	1.0
Gold standard	family	F1 score	sample_132	1.0
Gold standard	family	Jaccard index	sample_132	1.0
Gold standard	family	Taxon counts	sample_132	25.0
Gold standard	genus	True positives	sample_132	49.0
Gold standard	genus	False negatives	sample_132	0.0
Gold standard	genus	False positives	sample_132	0.0
Gold standard	genus	Completeness	sample_132	1.0
Gold standard	genus	Purity	sample_132	1.0
Gold standard	genus	F1 score	sample_132	1.0
Gold standard	genus	Jaccard index	sample_132	1.0
Gold standard	genus	Taxon counts	sample_132	49.0
Gold standard	species	True positives	sample_132	83.0
Gold standard	species	False negatives	sample_132	0.0
Gold standard	species	False positives	sample_132	0.0
Gold standard	species	Completeness	sample_132	1.0
Gold standard	species	Purity	sample_132	1.0
Gold standard	species	F1 score	sample_132	1.0
Gold standard	species	Jaccard index	sample_132	1.0
Gold standard	species	Taxon counts	sample_132	83.0
Gold standard	strain	True positives	sample_132	83.0
Gold standard	strain	False negatives	sample_132	0.0
Gold standard	strain	False positives	sample_132	0.0
Gold standard	strain	Completeness	sample_132	1.0
Gold standard	strain	Purity	sample_132	1.0
Gold standard	strain	F1 score	sample_132	1.0
Gold standard	strain	Jaccard index	sample_132	1.0
Gold standard	strain	Taxon counts	sample_132	83.0
Gold standard	superkingdom	L1 norm error	sample_132	0.0
Gold standard	phylum	L1 norm error	sample_132	0.0
Gold standard	class	L1 norm error	sample_132	0.0
Gold standard	order	L1 norm error	sample_132	0.0
Gold standard	family	L1 norm error	sample_132	0.0
Gold standard	genus	L1 norm error	sample_132	0.0
Gold standard	species	L1 norm error	sample_132	0.0
Gold standard	strain	L1 norm error	sample_132	0.0
Gold standard	na	Weighted UniFrac error	sample_132	0.0
Gold standard	na	Unweighted UniFrac error	sample_132	0.0
Gold standard	superkingdom	Bray-Curtis distance	sample_133	0.0
Gold standard	phylum	Bray-Curtis distance	sample_133	0.0
Gold standard	class	Bray-Curtis distance	sample_133	0.0
Gold standard	order	Bray-Curtis distance	sample_133	0.0
Gold standard	family	Bray-Curtis distance	sample_133	0.0
Gold standard	genus	Bray-Curtis distance	sample_133	0.0
Gold standard	species	Bray-Curtis distance	sample_133	0.0
Gold standard	strain	Bray-Curtis distance	sample_133	0.0
Gold standard	superkingdom	Shannon diversity	sample_133	0.0
Gold standard	superkingdom	Shannon equitability	sample_133	0.0
Gold standard	phylum	Shannon diversity	sample_133	0.25206339296442115
Gold standard	phylum	Shannon equitability	sample_133	0.3636506070194164
Gold standard	class	Shannon diversity	sample_133	0.8657992536306672
Gold standard	class	Shannon equitability	sample_133	0.5379513225963714
Gold standard	order	Shannon diversity	sample_133	2.2513642148479973
Gold standard	order	Shannon equitability	sample_133	0.831359852166575
Gold standard	family	Shannon diversity	sample_133	2.939773962130299
Gold standard	family	Shannon equitability	sample_133	0.9250233378861431
Gold standard	genus	Shannon diversity	sample_133	3.5832692497698324
Gold standard	genus	Shannon equitability	sample_133	0.9256221104699155
Gold standard	species	Shannon diversity	sample_133	4.185135241471347
Gold standard	species	Shannon equitability	sample_133	0.9550684170551174
Gold standard	strain	Shannon diversity	sample_133	4.185135241471347
Gold standard	strain	Shannon equitability	sample_133	0.9550684170551174
Gold standard	superkingdom	True positives	sample_133	1.0
Gold standard	superkingdom	False negatives	sample_133	0.0
Gold standard	superkingdom	False positives	sample_133	0.0
Gold standard	superkingdom	Completeness	sample_133	1.0
Gold standard	superkingdom	Purity	sample_133	1.0
Gold standard	superkingdom	F1 score	sample_133	1.0
Gold standard	superkingdom	Jaccard index	sample_133	1.0
Gold standard	superkingdom	Taxon counts	sample_133	1.0
Gold standard	phylum	True positives	sample_133	2.0
Gold standard	phylum	False negatives	sample_133	0.0
Gold standard	phylum	False positives	sample_133	0.0
Gold standard	phylum	Completeness	sample_133	1.0
Gold standard	phylum	Purity	sample_133	1.0
Gold standard	phylum	F1 score	sample_133	1.0
Gold standard	phylum	Jaccard index	sample_133	1.0
Gold standard	phylum	Taxon counts	sample_133	2.0
Gold standard	class	True positives	sample_133	5.0
Gold standard	class	False negatives	sample_133	0.0
Gold standard	class	False positives	sample_133	0.0
Gold standard	class	Completeness	sample_133	1.0
Gold standard	class	Purity	sample_133	1.0
Gold standard	class	F1 score	sample_133	1.0
Gold standard	class	Jaccard index	sample_133	1.0
Gold standard	class	Taxon counts	sample_133	5.0
Gold standard	order	True positives	sample_133	15.0
Gold standard	order	False negatives	sample_133	0.0
Gold standard	order	False positives	sample_133	0.0
Gold standard	order	Completeness	sample_133	1.0
Gold standard	order	Purity	sample_133	1.0
Gold standard	order	F1 score	sample_133	1.0
Gold standard	order	Jaccard index	sample_133	1.0
Gold standard	order	Taxon counts	sample_133	15.0
Gold standard	family	True positives	sample_133	24.0
Gold standard	family	False negatives	sample_133	0.0
Gold standard	family	False positives	sample_133	0.0
Gold standard	family	Completeness	sample_133	1.0
Gold standard	family	Purity	sample_133	1.0
Gold standard	family	F1 score	sample_133	1.0
Gold standard	family	Jaccard index	sample_133	1.0
Gold standard	family	Taxon counts	sample_133	24.0
Gold standard	genus	True positives	sample_133	48.0
Gold standard	genus	False negatives	sample_133	0.0
Gold standard	genus	False positives	sample_133	0.0
Gold standard	genus	Completeness	sample_133	1.0
Gold standard	genus	Purity	sample_133	1.0
Gold standard	genus	F1 score	sample_133	1.0
Gold standard	genus	Jaccard index	sample_133	1.0
Gold standard	genus	Taxon counts	sample_133	48.0
Gold standard	species	True positives	sample_133	80.0
Gold standard	species	False negatives	sample_133	0.0
Gold standard	species	False positives	sample_133	0.0
Gold standard	species	Completeness	sample_133	1.0
Gold standard	species	Purity	sample_133	1.0
Gold standard	species	F1 score	sample_133	1.0
Gold standard	species	Jaccard index	sample_133	1.0
Gold standard	species	Taxon counts	sample_133	80.0
Gold standard	strain	True positives	sample_133	80.0
Gold standard	strain	False negatives	sample_133	0.0
Gold standard	strain	False positives	sample_133	0.0
Gold standard	strain	Completeness	sample_133	1.0
Gold standard	strain	Purity	sample_133	1.0
Gold standard	strain	F1 score	sample_133	1.0
Gold standard	strain	Jaccard index	sample_133	1.0
Gold standard	strain	Taxon counts	sample_133	80.0
Gold standard	superkingdom	L1 norm error	sample_133	0.0
Gold standard	phylum	L1 norm error	sample_133	0.0
Gold standard	class	L1 norm error	sample_133	0.0
Gold standard	order	L1 norm error	sample_133	0.0
Gold standard	family	L1 norm error	sample_133	0.0
Gold standard	genus	L1 norm error	sample_133	0.0
Gold standard	species	L1 norm error	sample_133	0.0
Gold standard	strain	L1 norm error	sample_133	0.0
Gold standard	na	Weighted UniFrac error	sample_133	0.0
Gold standard	na	Unweighted UniFrac error	sample_133	0.0
Gold standard	superkingdom	Bray-Curtis distance	sample_134	0.0
Gold standard	phylum	Bray-Curtis distance	sample_134	0.0
Gold standard	class	Bray-Curtis distance	sample_134	0.0
Gold standard	order	Bray-Curtis distance	sample_134	0.0
Gold standard	family	Bray-Curtis distance	sample_134	0.0
Gold standard	genus	Bray-Curtis distance	sample_134	0.0
Gold standard	species	Bray-Curtis distance	sample_134	0.0
Gold standard	strain	Bray-Curtis distance	sample_134	0.0
Gold standard	superkingdom	Shannon diversity	sample_134	0.0
Gold standard	superkingdom	Shannon equitability	sample_134	0.0
Gold standard	phylum	Shannon diversity	sample_134	0.2651668156661775
Gold standard	phylum	Shannon equitability	sample_134	0.3825548499699122
Gold standard	class	Shannon diversity	sample_134	0.9893747400991862
Gold standard	class	Shannon equitability	sample_134	0.6147330893944609
Gold standard	order	Shannon diversity	sample_134	2.2390878465985984
Gold standard	order	Shannon equitability	sample_134	0.8268265653595571
Gold standard	family	Shannon diversity	sample_134	2.958321899827478
Gold standard	family	Shannon equitability	sample_134	0.9190543720177864
Gold standard	genus	Shannon diversity	sample_134	3.593050493938009
Gold standard	genus	Shannon equitability	sample_134	0.913837700236065
Gold standard	species	Shannon diversity	sample_134	4.318825743590706
Gold standard	species	Shannon equitability	sample_134	0.9695754408784455
Gold standard	strain	Shannon diversity	sample_134	4.318825743590706
Gold standard	strain	Shannon equitability	sample_134	0.9695754408784455
Gold standard	superkingdom	True positives	sample_134	1.0
Gold standard	superkingdom	False negatives	sample_134	0.0
Gold standard	superkingdom	False positives	sample_134	0.0
Gold standard	superkingdom	Completeness	sample_134	1.0
Gold standard	superkingdom	Purity	sample_134	1.0
Gold standard	superkingdom	F1 score	sample_134	1.0
Gold standard	superkingdom	Jaccard index	sample_134	1.0
Gold standard	superkingdom	Taxon counts	sample_134	1.0
Gold standard	phylum	True positives	sample_134	2.0
Gold standard	phylum	False negatives	sample_134	0.0
Gold standard	phylum	False positives	sample_134	0.0
Gold standard	phylum	Completeness	sample_134	1.0
Gold standard	phylum	Purity	sample_134	1.0
Gold standard	phylum	F1 score	sample_134	1.0
Gold standard	phylum	Jaccard index	sample_134	1.0
Gold standard	phylum	Taxon counts	sample_134	2.0
Gold standard	class	True positives	sample_134	5.0
Gold standard	class	False negatives	sample_134	0.0
Gold standard	class	False positives	sample_134	0.0
Gold standard	class	Completeness	sample_134	1.0
Gold standard	class	Purity	sample_134	1.0
Gold standard	class	F1 score	sample_134	1.0
Gold standard	class	Jaccard index	sample_134	1.0
Gold standard	class	Taxon counts	sample_134	5.0
Gold standard	order	True positives	sample_134	15.0
Gold standard	order	False negatives	sample_134	0.0
Gold standard	order	False positives	sample_134	0.0
Gold standard	order	Completeness	sample_134	1.0
Gold standard	order	Purity	sample_134	1.0
Gold standard	order	F1 score	sample_134	1.0
Gold standard	order	Jaccard index	sample_134	1.0
Gold standard	order	Taxon counts	sample_134	15.0
Gold standard	family	True positives	sample_134	25.0
Gold standard	family	False negatives	sample_134	0.0
Gold standard	family	False positives	sample_134	0.0
Gold standard	family	Completeness	sample_134	1.0
Gold standard	family	Purity	sample_134	1.0
Gold standard	family	F1 score	sample_134	1.0
Gold standard	family	Jaccard index	sample_134	1.0
Gold standard	family	Taxon counts	sample_134	25.0
Gold standard	genus	True positives	sample_134	51.0
Gold standard	genus	False negatives	sample_134	0.0
Gold standard	genus	False positives	sample_134	0.0
Gold standard	genus	Completeness	sample_134	1.0
Gold standard	genus	Purity	sample_134	1.0
Gold standard	genus	F1 score	sample_134	1.0
Gold standard	genus	Jaccard index	sample_134	1.0
Gold standard	genus	Taxon counts	sample_134	51.0
Gold standard	species	True positives	sample_134	86.0
Gold standard	species	False negatives	sample_134	0.0
Gold standard	species	False positives	sample_134	0.0
Gold standard	species	Completeness	sample_134	1.0
Gold standard	species	Purity	sample_134	1.0
Gold standard	species	F1 score	sample_134	1.0
Gold standard	species	Jaccard index	sample_134	1.0
Gold standard	species	Taxon counts	sample_134	86.0
Gold standard	strain	True positives	sample_134	86.0
Gold standard	strain	False negatives	sample_134	0.0
